City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Consett,54.854,-1.8316,48.29,78,46,12.95,scattered clouds
318,Pochutla,15.7432,-96.4661,77.83,77,0,2.55,clear sky
319,Suez,29.9737,32.5263,80.2,39,0,11.45,clear sky
320,Kurumkan,54.3,110.3,52.77,31,16,8.79,few clouds
321,Amuntai,-2.4177,115.2494,89.67,56,53,4.34,broken clouds
322,Nizhniy Kuranakh,58.8353,125.4869,40.03,90,100,7.81,overcast clouds
323,San Juan,-31.5375,-68.5364,63.73,39,0,2.19,clear sky
324,Ongandjera,-17.8833,15.0667,68.56,31,0,15.05,clear sky
325,Ligayan,4.6533,119.4706,83.93,70,34,3.38,scattered clouds
326,Kadoshkino,54.0257,44.4191,64.38,59,83,8.01,broken clouds
327,Ullo,47.3877,19.3553,61.74,77,75,5.75,broken clouds
328,Ambilobe,-13.2,49.05,79.75,57,91,4.16,overcast clouds
329,Nsanje,-16.92,35.262,72.1,71,38,5.1,light rain
330,Natal,-5.795,-35.2094,75.42,92,40,6.44,scattered clouds
331,Codrington,-38.2667,141.9667,63.55,54,100,16.82,overcast clouds
332,Karla,59.3723,24.9275,55.36,71,40,11.5,scattered clouds
333,Boditi,6.9667,37.8667,69.85,64,30,5.57,scattered clouds
334,Sorong,-0.8833,131.25,79.65,87,100,14.58,light rain
335,Constitucion,-35.3333,-72.4167,52.07,70,0,5.75,clear sky
336,Bintulu,3.1667,113.0333,93.61,62,20,6.91,few clouds
337,Thunder Bay,48.4001,-89.3168,49.91,59,90,4.61,overcast clouds
338,Qaqortoq,60.7167,-46.0333,43.3,58,100,9.73,light rain
339,Remanso,-9.6179,-42.0831,71.78,67,70,5.26,broken clouds
340,Newport,51.5877,-2.9984,49.86,80,49,8.75,scattered clouds
341,Ndele,8.4109,20.6473,86.81,53,72,7.11,broken clouds
342,Tigzirt,36.8886,4.1198,66.24,70,3,19.82,clear sky
343,Barcarena,-1.5058,-48.6258,77.05,94,95,5.14,overcast clouds
344,Chiredzi,-21.05,31.6667,69.89,53,0,5.01,clear sky
345,Geraldton,-28.7667,114.6,64.81,58,75,16.89,broken clouds
346,Kitob,39.0843,66.8332,81.18,14,65,2.73,broken clouds
347,Grand Gaube,-20.0064,57.6608,77.4,74,65,8.99,light rain
348,Punta Umbria,37.1821,-6.9661,63.12,61,2,15.7,clear sky
349,Napasar,27.9667,73.55,99.79,21,0,7.96,clear sky
350,Susanville,40.4163,-120.653,48.04,63,1,1.01,clear sky
351,Sebring,27.4956,-81.4409,67.59,83,1,4.79,clear sky
352,Ihosy,-22.4,46.1167,69.71,57,26,5.53,scattered clouds
353,Turkmenabat,39.0733,63.5786,96.78,8,0,4.61,clear sky
354,Strezhevoy,60.7333,77.5889,64.38,34,29,19.3,scattered clouds
355,Meadow Lake,34.8014,-106.5436,62.08,14,0,1.83,clear sky
356,Beringovskiy,63.05,179.3167,32.68,97,100,13.09,overcast clouds
357,Uyar,55.81,94.3153,66.4,56,13,17.78,few clouds
358,Osakarovka,50.565,72.5692,85.19,23,4,5.23,clear sky
359,Bealanana,-14.55,48.7333,69.76,64,54,5.41,broken clouds
360,Andenes,69.3143,16.1194,44.58,53,20,8.05,few clouds
361,Mitsamiouli,-11.3847,43.2844,80.44,56,2,8.32,clear sky
362,Klaksvik,62.2266,-6.589,49.12,70,99,7.96,overcast clouds
363,Alyangula,-13.8483,136.4192,82.27,72,90,15.12,overcast clouds
364,Fairbanks,64.8378,-147.7164,53.6,49,1,4.61,clear sky
365,Westport,41.1415,-73.3579,64.78,77,75,1.01,broken clouds
366,San-Pedro,4.7485,-6.6363,79.52,88,70,1.95,broken clouds
367,Acapulco,16.8634,-99.8901,80.85,67,20,4.56,few clouds
368,Kurilsk,45.2333,147.8833,41.94,98,100,0.67,overcast clouds
369,Ostrovnoy,68.0531,39.5131,36.25,61,98,14.81,overcast clouds
370,Hun,29.1268,15.9477,94.73,10,5,10.18,clear sky
371,Cockburn Town,21.4612,-71.1419,78.58,75,30,17.54,scattered clouds
372,Batemans Bay,-35.7167,150.1833,62.91,89,99,5.64,overcast clouds
